span,mass,EI,Gip,c,T.C.,Cm,CL,U0
0,0.085278179,162098.8193,14295.48438,860,0.407949462,,,8.5
100,0.085278179,162098.8193,14295.48438,860,0.407947448,,,
200,0.075198265,150029.2954,13506.15768,860,0.407946194,,,
300,0.070173647,149237.9794,13114.96415,860,0.407945539,,,
400,0.070173647,149237.9794,13114.96415,860,0.407945414,,,
500,0.065159255,138103.0453,12726.07147,860,0.407945782,,,
600,0.065159255,138103.0453,12726.07147,860,0.407946626,,,
700,0.064167977,134342.898,12656.29605,860,0.407947938,,,
800,0.063146022,130582.7507,12586.52063,860,0.407949721,,,
900,0.063146022,130582.7507,12586.52063,860,0.407951985,,,
1000,0.063146022,130582.7507,12586.52063,860,0.407954751,,,
1100,0.062209815,126982.1693,12520.62163,860,0.407958043,,,
1200,0.062209815,126982.1693,12520.62163,860,0.4079619,,,
1300,0.062209815,126982.1693,12520.62163,860,0.407966368,,,
1400,0.062209815,126982.1693,12520.62163,860,0.407971509,,,
1500,0.061246567,123381.5878,12454.72262,860,0.407977406,,,
1600,0.061246567,123381.5878,12454.72262,860,0.407984165,,,
1700,0.060351663,119905.742,12391.73092,860,0.407991932,,,
1800,0.072406868,119085.7549,10195.68851,860,0.408000926,,,
1900,0.072406868,119085.7549,10195.68851,860,0.408011428,,,
2000,0.072406868,119085.7549,10195.68851,860,0.408024133,,,
2100,0.067901636,118436.3281,9904.13027,858.3333333,0.408039508,,,
2200,0.067901636,118436.3281,9904.13027,856.6666667,0.40803376,,,
2300,0.063406629,110196.7199,9614.459828,855,0.408031045,,,
2400,0.063406629,110196.7199,9614.459828,853.3333333,0.40803074,,,
2500,0.063406629,110196.7199,9614.459828,851.6666667,0.408032174,,,
2600,0.063406629,110196.7199,9614.459828,850,0.408035084,,,
2700,0.058921848,102012.7076,9326.668818,848.3333333,0.408039266,,,
2800,0.058921848,102012.7076,9326.668818,846.6666667,0.408044585,,,
2900,0.058921848,102012.7076,9326.668818,845,0.408050954,,,
3000,0.058921848,102012.7076,9326.668818,843.3333333,0.408058314,,,
3100,0.054447294,93884.03879,9040.748889,841.6666667,0.408055489,,,
3200,0.054447294,93884.03879,9040.748889,840,0.408053328,,,
3300,0.053561586,91142.89072,8989.882595,838.3333333,0.408051764,,,
3400,0.052645201,88401.74265,8939.016301,836.6666667,0.408050733,,,
3500,0.052645201,88401.74265,8939.016301,835,0.408050192,,,
3600,0.051796398,85747.30531,8890.269437,833.3333333,0.408050109,,,
3700,0.050920155,83092.86798,8841.522572,831.6666667,0.40805046,,,
3800,0.050920155,83092.86798,8841.522572,830,0.408051225,,,
3900,0.049982965,85810.46159,8756.69171,828.3333333,0.408052391,,,
4000,0.049982965,85810.46159,8756.69171,826.6666667,0.408053945,,,
4100,0.049097257,83078.79688,8706.001395,825,0.408055882,,,
4200,0.048180872,80347.13217,8655.31108,823.3333333,0.408058196,,,
4300,0.048180872,80347.13217,8655.31108,821.6666667,0.408060885,,,
4400,0.047332069,77701.87821,8606.732861,820,0.408063952,,,
4500,0.046455826,75056.62425,8558.154643,818.3333333,0.4080674,,,
4600,0.046455826,75056.62425,8558.154643,816.6666667,0.408071236,,,
4700,0.045643928,72500.94723,8511.688521,815,0.40807547,,,
4800,0.044807657,69945.27021,8465.222399,813.3333333,0.408080115,,,
4900,0.044032663,67482.26839,8420.868373,811.6666667,0.408085187,,,
5000,0.044032663,67482.26839,8420.868373,810,0.408090707,,,
5100,0.043236194,65019.26657,8376.514347,808.3333333,0.408096702,,,
5200,0.042498105,62651.96177,8334.272418,806.6666667,0.408103204,,,
5300,0.042498105,62651.96177,8334.272418,805,0.408110254,,,
5400,0.041741268,60284.65696,8292.030489,803.3333333,0.408117901,,,
5500,0.041040082,58015.98625,8251.900656,801.6666667,0.408126211,,,
5600,0.040322706,55747.31554,8211.770824,800,0.408135269,,,
5700,0.044358346,54672.70553,6162.278596,798.3333333,0.408145191,,,
5800,0.0435166,52708.16969,6125.561197,796.6666667,0.408156184,,,
5900,0.0435166,52708.16969,6125.561197,795,0.408168471,,,
6000,0.038772075,50440.7197,5889.239416,793.3333333,0.408713743,,,
6100,0.03796647,48542.98631,5854.147655,791.6666667,0.409259552,,,
6200,0.03796647,48542.98631,5854.147655,790,0.409805898,,,
6300,0.037221948,46706.66151,5820.538644,788.3333333,0.410352847,,,
6400,0.036452315,44870.33672,5786.929633,786.6666667,0.410900574,,,
6500,0.035740638,43097.62805,5754.803372,785,0.411449328,,,
6600,0.035740638,43097.62805,5754.803372,783.3333333,0.411999418,,,
6700,0.035006806,41324.91938,5722.677112,781.6666667,0.412551561,,,
6800,0.034327976,39617.98466,5692.033602,780,0.413106906,,,
6900,0.033629774,37911.04994,5661.390092,778.3333333,0.412921798,,,
7000,0.033629774,37911.04994,5661.390092,776.6666667,0.412740315,,,
7100,0.032983791,36271.99139,5632.229332,775,0.412561587,,,
7200,0.032321049,34632.93283,5603.068573,773.3333333,0.412384815,,,
7300,0.032321049,34632.93283,5603.068573,771.6666667,0.412209665,,,
7400,0.031707913,33063.79127,5575.390564,770,0.412035896,,,
7500,0.03108046,31494.6497,5547.712555,768.3333333,0.411863339,,,
7600,0.03108046,31494.6497,5547.712555,766.6666667,0.411691871,,,
7700,0.03050017,29997.39898,5521.517296,765,0.4115214,,,
7800,0.029907837,28500.14826,5495.322037,763.3333333,0.411351859,,,
7900,0.029907837,28500.14826,5495.322037,761.6666667,0.411183199,,,
8000,0.029360393,27076.68985,5470.609529,760,0.411015382,,,
8100,0.028803008,25653.23145,5445.897021,758.3333333,0.410848387,,,
8200,0.028803008,25653.23145,5445.897021,756.6666667,0.410682198,,,
8300,0.028288412,24305.38923,5422.667264,755,0.41051681,,,
8400,0.028288412,24305.38923,5422.667264,753.3333333,0.410352229,,,
8500,0.027765805,22957.54702,5399.437506,751.6666667,0.410188466,,,
8600,0.027284055,21687.06227,5377.690499,750,0.410025542,,,
8700,0.027284055,21687.06227,5377.690499,748.3333333,0.409863487,,,
8800,0.026796055,20416.57752,5355.943492,746.6666667,0.409702343,,,
8900,0.026347152,19225.10415,5335.679235,745,0.409542162,,,
9000,0.026347152,19225.10415,5335.679235,743.3333333,0.409383013,,,
9100,0.02589359,18033.63079,5315.414979,741.6666667,0.409224982,,,
9200,0.02589359,18033.63079,5315.414979,740,0.40906818,,,
9300,0.025477533,16922.73081,5296.633473,738.3333333,0.408912754,,,
9400,0.025058238,15811.83083,5277.851966,736.6666667,0.408758895,,,
9500,0.025058238,15811.83083,5277.851966,735,0.408606879,,,
9600,0.02045906,10972.29218,2273.041753,733.3333333,0.408457068,,,
9700,0.02045906,10972.29218,2273.041753,731.6666667,0.408310232,,,
9800,0.0199562,10258.84956,2260.272827,730,0.408167328,,,
9900,0.019441211,9545.406935,2247.503901,722.8571429,0.407753079,,,
10000,0.018971326,8870.873449,2235.572281,715.7142857,0.407342455,,,
10100,0.018971326,8870.873449,2235.572281,708.5714286,0.40693472,,,
10200,0.018491726,8196.339963,2223.640662,701.4285714,0.406529283,,,
10300,0.018054815,7562.21879,2212.546349,694.2857143,0.406126007,,,
10400,0.017610376,6928.097616,2201.452036,687.1428571,0.405724902,,,
10500,0.017610376,6928.097616,2201.452036,680,0.405326166,,,
10600,0.01720644,6335.820177,2191.195029,672.8571429,0.404930209,,,
10700,0.016796936,5743.542738,2180.938023,665.7142857,0.40453816,,,
10800,0.016796936,5743.542738,2180.938023,658.5714286,0.404001953,,,
10900,0.016425974,5194.461725,2171.518323,651.4285714,0.403470656,,,
11000,0.016051177,4645.380711,2162.098624,644.2857143,0.402943721,,,
11100,0.016051177,4645.380711,2162.098624,637.1428571,0.402420918,,,
11200,0.015713189,4140.763496,2153.516231,630,0.401902351,,,
11300,0.015713189,4140.763496,2153.516231,622.8571429,0.401388328,,,
11400,0.015372872,3636.14628,2144.933837,615.7142857,0.400879379,,,
11500,0.015067858,3177.168739,2137.188751,608.5714286,0.400376438,,,
11600,0.015067858,3177.168739,2137.188751,601.4285714,0.399881544,,,
11700,0.014761794,2718.191197,2129.443665,592.244898,0.399840932,,,
11800,0.014761794,2718.191197,2129.443665,583.0612245,0.39979744,,,
11900,0.014761794,2718.191197,2129.443665,573.877551,0.39974764,,,
12000,0.014761794,2718.191197,2129.443665,564.6938776,0.399690973,,,
12100,0.011629492,1940.419778,658.9047854,555.5102041,0.39962879,,,
12200,0.011308268,1734.4554,655.2510937,546.3265306,0.399563722,,,
12300,0.010982102,1528.491023,651.597402,537.1428571,0.399499148,,,
12400,0.010694108,1340.767456,648.3216784,531.5873016,0.399438712,,,
12500,0.010694108,1340.767456,648.3216784,526.031746,0.399385939,,,
12600,0.01040316,1153.04389,645.0459548,520.4761905,0.399343948,,,
12700,0.010148396,984.5169905,642.1481993,514.9206349,0.399315323,,,
12800,0.010148396,984.5169905,642.1481993,509.3650794,0.399302185,,,
12900,0.009892325,815.9900909,639.2504439,503.8095238,0.399306877,,,
13000,0.009892325,815.9900909,639.2504439,498.2539683,0.399140709,,,
13100,0.009892325,815.9900909,639.2504439,492.6984127,0.398983552,,,
13200,0.009892325,815.9900909,639.2504439,487.1428571,0.398832106,,,
13300,0.009892325,815.9900909,639.2504439,480,0.398685907,,,
13400,0.009892325,815.9900909,639.2504439,472.8571429,0.398547957,,,
13500,0.009892325,815.9900909,639.2504439,465.7142857,0.396879794,,,
13600,0.009892325,815.9900909,639.2504439,458.5714286,0.395225371,,,
13700,0.009892325,815.9900909,639.2504439,451.4285714,0.393580849,,,
13800,0.009892325,815.9900909,639.2504439,444.2857143,0.391945535,,,
13900,0.009892325,815.9900909,639.2504439,437.1428571,0.390320286,,,
14000,0.009892325,815.9900909,639.2504439,430,0.388701284,,,
14100,0.009892325,815.9900909,639.2504439,422.8571429,0.387045178,,,
14200,0.009892325,815.9900909,639.2504439,415.7142857,0.385350677,,,
14300,0.009892325,815.9900909,639.2504439,408.5714286,0.38361643,,,
14400,0.009892325,815.9900909,639.2504439,401.4285714,0.380700259,,,
14500,0.009892325,815.9900909,639.2504439,394.2857143,0.377732045,,,
14600,0.009892325,815.9900909,639.2504439,387.1428571,0.374710384,,,
14700,0.009892325,815.9900909,639.2504439,380,0.371633818,,,
